NumberOfClusters,NumberOfNonSingletonClusters,R-Squared(RSQ),Semipartial R-Squared(SPRSQ),SPRSQRank,Kelley Penalty,IsKelleyGlobalMinimum,MergeDistance
512,151,0.980561,7.42015e-05,,578.51,,0.3511
513,151,0.980699,0.000137535,,579.2,,0.35075
514,150,0.980772,7.34435e-05,,579.483,,0.3502
515,149,0.980845,7.31085e-05,,579.769,,0.3498
516,149,0.981093,0.000247195,,580.589,,0.348071
517,148,0.981164,7.16153e-05,,580.883,,0.348
518,147,0.981235,7.12866e-05,,581.18,,0.3476
519,148,0.981521,0.000285714,,582.415,,0.347511
520,147,0.981592,7.03885e-05,,582.718,,0.3465
521,147,0.981712,0.000120695,,583.518,,0.3449
522,148,0.981897,0.000184597,,584.722,,0.3445
523,147,0.981966,6.87774e-05,,585.034,,0.3445
524,146,0.982034,6.87774e-05,,585.348,,0.3445
525,147,0.98226,0.000225809,,586.462,,0.344417
526,146,0.982329,6.8379e-05,,586.781,,0.344
527,146,0.982515,0.000186196,,587.568,,0.3435
528,146,0.982723,0.000208591,,588.422,,0.343483
529,145,0.982791,6.77451e-05,,588.747,,0.3432
530,144,0.982858,6.73512e-05,,589.076,,0.3427
531,143,0.982925,6.67245e-05,,589.409,,0.3419
532,143,0.983043,0.000118036,,590.13,,0.3411
533,142,0.983109,6.57926e-05,,590.469,,0.3407
534,143,0.98341,0.00030058,,591.824,,0.340193
535,144,0.983688,0.000278715,,593.02,,0.33999
536,145,0.98402,0.000332112,,594.235,,0.339571
537,144,0.984085,6.45654e-05,,594.581,,0.3391
538,143,0.984149,6.43373e-05,,594.931,,0.3388
539,144,0.984407,0.000257646,,596.021,,0.33855
540,143,0.984471,6.39583e-05,,596.374,,0.3383
541,143,0.984642,0.000171048,,597.207,,0.336675
542,142,0.984704,6.21626e-05,,597.569,,0.3359
543,143,0.985196,0.000491915,,598.652,,0.335788
544,144,0.98551,0.000314379,,599.939,,0.33522
545,144,0.985619,0.000108762,,600.675,,0.33485
546,144,0.985823,0.000204066,,601.481,,0.33372
547,144,0.986074,0.000250734,,602.366,,0.333567
548,143,0.986134,5.97555e-05,,602.741,,0.3326
549,143,0.986304,0.000169929,,603.562,,0.330375
550,143,0.986404,0.000100114,,604.42,,0.33035
551,144,0.987336,0.00093265,,605.541,,0.329497
552,144,0.987442,0.000105089,,606.307,,0.32875
553,143,0.987498,5.69324e-05,,606.696,,0.3286
554,144,0.987909,0.000410303,,607.904,,0.328508
555,143,0.987965,5.66556e-05,,608.296,,0.3282
556,142,0.988022,5.66556e-05,,608.691,,0.3282
557,141,0.988079,5.65177e-05,,609.088,,0.328
558,140,0.988134,5.58316e-05,,609.489,,0.327
559,139,0.98819,5.57633e-05,,609.892,,0.3269
560,138,0.988245,5.50841e-05,,610.299,,0.3259
561,137,0.9883,5.46124e-05,,610.709,,0.3252
562,137,0.988421,0.000121452,,611.544,,0.324367
563,137,0.988547,0.00012556,,612.388,,0.324333
564,137,0.988687,0.000140012,,613.086,,0.323633
565,136,0.98874,5.34793e-05,,613.505,,0.3235
566,137,0.989123,0.000382407,,614.652,,0.3231
567,138,0.98933,0.000207005,,615.881,,0.3222
568,137,0.989382,5.25596e-05,,616.306,,0.3221
569,137,0.989571,0.000188596,,617.156,,0.321983
570,137,0.989667,9.61341e-05,,617.927,,0.32155
571,136,0.989719,5.16517e-05,,618.358,,0.3207
572,136,0.98981,9.08118e-05,,619.152,,0.32035
573,137,0.990146,0.000336836,,620.445,,0.320196
574,136,0.990197,5.10105e-05,,620.882,,0.3197
575,135,0.990248,5.05652e-05,,621.321,,0.319
576,135,0.990337,8.93999e-05,,621.995,,0.31855
577,134,0.990388,5.01859e-05,,622.439,,0.3184
578,134,0.990515,0.000127408,,623.329,,0.31796
579,134,0.990604,8.88279e-05,,624.124,,0.3175
580,133,0.990653,4.93712e-05,,624.575,,0.3171
581,133,0.990739,8.62042e-05,,625.411,,0.3169
582,132,0.990788,4.89986e-05,,625.866,,0.3165
583,131,0.990837,4.87514e-05,,626.323,,0.3161
584,131,0.991023,0.000186286,,627.231,,0.314507
585,131,0.991132,0.00010839,,628.13,,0.3145
586,130,0.991179,4.74083e-05,,628.595,,0.3139
587,130,0.991307,0.000128157,,629.513,,0.3123
588,129,0.991354,4.63302e-05,,629.982,,0.3121
589,129,0.991434,7.99855e-05,,630.627,,0.3098
590,130,0.991586,0.000152047,,631.836,,0.309217
591,130,0.991662,7.61361e-05,,632.732,,0.30615
592,130,0.991737,7.52368e-05,,633.566,,0.3061
593,131,0.992133,0.00039567,,634.765,,0.304676
594,130,0.992175,4.18694e-05,,635.253,,0.3043
595,129,0.992216,4.13218e-05,,635.744,,0.3033
596,129,0.992375,0.000159032,,636.657,,0.3032
597,129,0.99245,7.51049e-05,,637.523,,0.3031
598,129,0.992533,8.28257e-05,,638.39,,0.30205
599,129,0.992605,7.18529e-05,,639.109,,0.3011
600,130,0.992798,0.0001929,,640.379,,0.300683
601,130,0.992897,9.89498e-05,,641.267,,0.2988
602,129,0.992935,3.81477e-05,,641.774,,0.2973
603,128,0.992973,3.80452e-05,,642.284,,0.2971
604,129,0.993149,0.000176225,,643.525,,0.295967
605,128,0.993186,3.71819e-05,,644.039,,0.2954
606,128,0.993251,6.46757e-05,,644.779,,0.2932
607,128,0.993311,6.04298e-05,,645.708,,0.293
608,127,0.993347,3.56943e-05,,646.23,,0.2924
609,128,0.993493,0.000146282,,647.274,,0.29175
610,129,0.993643,0.000149575,,648.504,,0.2917
611,128,0.993678,3.52085e-05,,649.03,,0.2914
612,127,0.993713,3.51119e-05,,649.557,,0.2912
613,128,0.993884,0.000170786,,650.681,,0.291092
614,128,0.993989,0.000105188,,651.572,,0.2891
615,127,0.994023,3.411e-05,,652.105,,0.2891
616,127,0.994084,6.04375e-05,,652.813,,0.2888
617,126,0.994117,3.36405e-05,,653.351,,0.2881
618,127,0.994321,0.00020392,,654.577,,0.287119
619,126,0.994354,3.26703e-05,,655.119,,0.286
620,125,0.994386,3.2397e-05,,655.664,,0.2854
621,126,0.994478,9.19269e-05,,656.758,,0.285275
622,127,0.994622,0.000143717,,657.877,,0.2847
623,126,0.994654,3.19903e-05,,658.426,,0.2845
624,125,0.994686,3.18107e-05,,658.976,,0.2841
625,126,0.994778,9.17069e-05,,660.196,,0.284025
626,126,0.994849,7.10957e-05,,661.105,,0.2829
627,126,0.994906,5.71821e-05,,661.998,,0.28185
628,126,0.99496,5.39401e-05,,662.86,,0.28105
629,126,0.995049,8.90691e-05,,663.784,,0.280543
630,125,0.995079,3.01427e-05,,664.345,,0.2803
631,126,0.995264,0.000185436,,665.535,,0.279856
